,title,rating,run time,year,genre,Director,Score
109,Double Indemnity,Passed,1H:47M,1944,Crime,Billy Wilder,8.2
110,Metropolis,Not Rated,2H:33M,1927,Drama,Fritz Lang,8.2
111,Taxi Driver,R,1H:54M,1976,Crime,Martin Scorsese,8.2
112,A Clockwork Orange,X,2H:16M,1971,Crime,Stanley Kubrick,8.2
113,A Separation,PG-13,2H:3M,2011,Drama,Asghar Farhadi,8.2
114,The Sting,PG,2H:9M,1973,Comedy,George Roy Hill,8.2
115,Scarface,R,2H:50M,1983,Crime,Brian De Palma,8.2
116,Snatch,R,1H:42M,2000,Comedy,Guy Ritchie,8.2
117,1917,R,1H:59M,2019,Action,Sam Mendes,8.2
118,Amélie,R,2H:2M,2001,Comedy,Jean-Pierre Jeunet,8.2
119,Pather Panchali,Not Rated,2H:5M,1955,Drama,Satyajit Ray,8.2
120,To Kill a Mockingbird,Approved,2H:9M,1962,Crime,Robert Mulligan,8.2
121,Toy Story 3,G,1H:43M,2010,Animation,Lee Unkrich,8.2
122,For a Few Dollars More,R,2H:12M,1965,Western,Sergio Leone,8.2
123,Up,PG,1H:36M,2009,Animation,Pete Docter,8.2
124,Indiana Jones and the Last Crusade,PG-13,2H:7M,1989,Action,Steven Spielberg,8.2
125,Heat,R,2H:50M,1995,Action,Michael Mann,8.2
126,L.A. Confidential,R,2H:18M,1997,Crime,Curtis Hanson,8.2
127,Yojimbo,Not Rated,1H:50M,1961,Action,Akira Kurosawa,8.2
128,Die Hard,R,2H:12M,1988,Action,John McTiernan,8.2
129,Ran,R,2H:42M,1985,Action,Akira Kurosawa,8.2
130,Rashomon,Not Rated,1H:28M,1950,Crime,Akira Kurosawa,8.2
131,Green Book,PG-13,2H:10M,2018,Biography,Peter Farrelly,8.2
132,Downfall,R,2H:36M,2004,Biography,Oliver Hirschbiegel,8.2
133,Monty Python and the Holy Grail,PG,1H:31M,1975,Adventure,Terry Gilliam,8.2
134,All About Eve,Passed,2H:18M,1950,Drama,Joseph L. Mankiewicz,8.2
135,Some Like It Hot,Passed,2H:1M,1959,Comedy,Billy Wilder,8.2
136,Batman Begins,PG-13,2H:20M,2005,Action,Christopher Nolan,8.2
137,Unforgiven,R,2H:10M,1992,Drama,Clint Eastwood,8.2
138,Children of Heaven,PG,1H:29M,1997,Drama,Majid Majidi,8.2
139,Jai Bhim,TV-MA,2H:44M,2021,Crime,T.J. Gnanavel,8.2
140,Howl's Moving Castle,PG,1H:59M,2004,Animation,Hayao Miyazaki,8.2
141,The Wolf of Wall Street,R,3H:0M,2013,Biography,Martin Scorsese,8.2
142,Judgment at Nuremberg,Approved,2H:59M,1961,Drama,Stanley Kramer,8.2
143,There Will Be Blood,R,2H:38M,2007,Drama,Paul Thomas Anderson,8.2
144,The Great Escape,Approved,2H:52M,1963,Adventure,John Sturges,8.2
145,Casino,R,2H:58M,1995,Crime,Martin Scorsese,8.2
146,The Treasure of the Sierra Madre,Passed,2H:6M,1948,Adventure,John Huston,8.2
147,Pan's Labyrinth,R,1H:58M,2006,Drama,Guillermo del Toro,8.1
148,A Beautiful Mind,PG-13,2H:15M,2001,Biography,Ron Howard,8.1
149,The Secret in Their Eyes,R,2H:9M,2009,Drama,Juan José Campanella,8.1
150,Raging Bull,R,2H:9M,1980,Biography,Martin Scorsese,8.1
151,Chinatown,R,2H:10M,1974,Drama,Roman Polanski,8.1
152,My Neighbor Totoro,G,1H:26M,1988,Animation,Hayao Miyazaki,8.1
153,Dersu Uzala,G,2H:22M,1975,Adventure,Akira Kurosawa,8.1
154,Shutter Island,R,2H:18M,2010,Mystery,Martin Scorsese,8.1
155,"Lock, Stock and Two Smoking Barrels",R,1H:47M,1998,Action,Guy Ritchie,8.1
156,No Country for Old Men,R,2H:2M,2007,Crime,Ethan Coen,8.1
157,Dial M for Murder,PG,1H:45M,1954,Crime,Alfred Hitchcock,8.1
158,The Gold Rush,Passed,1H:35M,1925,Adventure,Charles Chaplin,8.1
159,Klaus,PG,1H:36M,2019,Animation,Sergio Pablos,8.1
